Launch_Country
US
US
US
US
US
FR
US
GB
US
GB
GB
GB
GB
PT
US
KR
ES
ES
US
DE
SG
AU
US
DE
GB
DE
GB
US
GB
KR
US
IE
US
US
FR
US
IT
NL
BE
US
FR
DE
US
TR
US
ES
ES
FR
US
GB
TR
GB
IT
GB
GB
US
US
GB
GB
GB
US
GR
US
US
CA
NL
GB
CH
GB
GB
US
US
AU
US
ES
US
DK
US
CY
FR
GB
US
DE
US
ES
FR
DE
ES
DE
US
DE
US
US
NL
US
FR
FR
GB
LV
US
IT
FR
ES
ES
GB
AU
GB
IN
BE
DE
NL
ES
FR
GB
AU
GB
AU
FR
US
CH
FR
AU
US
GB
FR
IN
US
GB
FR
CH
IT
DE
US
BR
FR
FR
US
IT
FR
US
IN
CA
DE
FR
US
GB
US
TR
GB
AU
US
AU
LT
CL
ES
FR
GB
CH
US
FR
DK
US
US
IL
US
US
US
GB
US
FR
GB
GB
AU
AU
US
GB
AU
GB
NL
US
AR
GB
IT
US
NL
US
US
BR
FR
CH
US
US
US
US
US
US
US
AU
DE
GB
GB
AU
AU
US
DE
AE
US
GB
NO
AU
US
FR
NL
CA
US
AU
US
CA
US
ES
AU
US
GB
US
AU
DE
US
DK
US
GB
AU
FR
US
ES
US
FR
AU
GB
ES
GB
CA
FR
US
US
AU
US
US
GB
FR
DE
US
AU
DE
GB
JO
TR
DE
NL
US
NL
FI
FR
GB
US
SG
US
FR
AU
IE
US
US
AU
US
GB
US
US
CH
US
US
US
US
AU
DK
US
ES
US
BE
FR
NL
FR
US
US
US
US
CA
GB
GB
FR
DE
US
US
FR
AU
US
US
ES
GB
GB
US
SE
ES
US
DE
US
US
EG
US
GB
GB
US
ES
US
FR
NL
US
BR
AU
BE
CA
US
BG
ES
PR
SG
US
CA
DE
US
US
US
DE
GB
DE
US
GB
DE
US
PT
DE
DE
IT
CA
GB
AU
AU
US
US
DE
SG
US
HK
ZA
US
DE
US
AU
NL
US
CA
US
SG
CN
UK
IS
CA
US
IN
US
ES
US
US
US
FR
US
US
ES
SG
US
US
US
US
FR
DE
BR
ES
US
FR
FR
AU
BR
US
ES
US
NL
NL
?
IN
IN
IN
NL
IN
?
US
BE
CH
AU
CL
?
?
AU
FR
US
FR
US
NL
RU
US
FR
BR
TR
GB
US
IE
KR
AU
US
ES
TR
IT
ES
ES
ES
MY
IL
US
UK
US
IE
IN
ES
US
FR
NL
ZA
SE
US
BR
FR
BG
UK
UK
NL
AR
TR
GR
EE
IN
US
IN
IL
UK
US
US
DK
AU
NL
US
PH
US
UK
UK
US
ES
IT
FR
US
SG
US
TH
US
US
RU
IL
US
US
PT
UK
US
US
US
US
FR
?
LV
US
NZ
NZ
US
ZA
IN
US
US
US
IT
UK
?
IN
DK
SP
US
UK
SE
